datetime,title,content
2020-10-30 17:00:00 -0400,"After NVIDIA and AMD, Marvell Technology Goes Shopping With $10 Billion Inphi Takeover","Earlier this year, NVIDIA (NASDAQ: NVDA) announced its intent to purchase chip designer ARM Holdings for $40 billion, and more recently AMD (NASDAQ: AMD) reached an agreement to merge with Xilinx (NASDAQ: XLNX) for $35 billion.  Not to be left out of the feeding frenzy is Marvell Technology Group (NASDAQ: MRVL), which announced on Thursday it inked a deal to acquire data center and 5G mobile-network hardware provider Inphi (NASDAQ: IPHI) for $10 billion."
2020-10-30 10:25:02 -0400,"Zacks Value Trader Highlights: Advanced Micro Devices, NVIDIA, Wingstop, Domino's Pizza and Chipotle Mexican Grill","Zacks Value Trader Highlights: Advanced Micro Devices, NVIDIA, Wingstop, Domino's Pizza and Chipotle Mexican Grill"
2020-10-29 16:19:08 -0400,3 Tech Stocks to Buy Now for Long-Term Gains,Let's dive into three large-cap technology stocks that are poised to grow for years to come...
2020-10-28 20:54:34 -0400,Nvidia CEO says attracted by Arm's network of customers,"The CEO of Nvidia Corp, which is set to buy chip designer Arm, said on Thursday that Arm's network of customers was the most attractive part of the company.  CEO Jensen Huang was speaking remotely at SoftBank World, SoftBank's annual event for customers and suppliers that has been retooled as it focuses on investing."
2020-10-28 15:34:00 -0400,AMD Is Now More Competitive in High-End Gaming -- But Nvidia Still Has Strengths,AMD's new RX 6000 GPUs deliver major performance and power efficiency gains relative to its RX 5000 GPUs. But Nvidia's ray-tracing and DLSS ecosystems still look like important competitive advantages.
2020-10-27 17:45:09 -0400,Nvidia Gains As Market Dips: What You Should Know,"In the latest trading session, Nvidia (NVDA) closed at $535.87, marking a +1.94% move from the previous day."
2020-10-27 16:35:00 -0400,AMD's Blockbuster Deal to Acquire Xilinx: 6 Thoughts,The companies should have opportunities to pair AMD's CPUs and/or GPUs with Xilinx's FPGAs in many end-markets. But Chinese regulatory approval is still a wild card.
2020-10-27 13:00:00 -0400,Intel Is Under Attack in the Data Center,"Chip giant Intel (NASDAQ: INTC) has been utterly dominant in the world of server CPUs for many years.  Intel is the king of the data center, and it's been that way for a long time.  On top of AMD's ongoing comeback in the server CPU market, graphics chip developer NVIDIA (NASDAQ: NVDA) agreed to acquire ARM Holdings earlier this year for a whopping $40 billion."
2020-10-27 11:42:50 -0400,5 Top Stocks for November,"Of course, any time is a great time to buy stocks if you're a long-term investor.  Here's why they selected Cresco Labs (OTC: CRLBF), Fastly (NYSE: FSLY), LGI Homes (NASDAQ: LGIH), Social Capital Hedosophia Holdings III (NYSE: IPOC), and NVIDIA (NASDAQ: NVDA).  Keith Speights (Cresco Labs): With Nov. 3 rapidly approaching, I've done what many investors have almost certainly done as well: Try to figure out which stocks could pop based on the election outcomes."
2020-10-27 10:30:00 -0400,"Advanced Micro Devices Lisa Su Does It Again, and Here's How to Play It","If you have followed me for very long at all, you probably already know that I have long (for years) labeled Lisa Su ""The Best CEO"" in the semiconductor industry.  If one is aware of how highly I think of Nvidia's  Jensen Huang (Lisa Su's cousin), one understands the level of admiration that the statement reveals.  Advanced Micro Devices  has entered into a definitive agreement to acquire Xilinx  in an all-stock deal valued at $35 billion, or about $143 per share."
2020-10-27 10:05:00 -0400,3 Dividend Investing Tips That Could Earn You Thousands,"High yields look great on paper, but the real money to be made in dividend stocks is in high growth prospects."
2020-10-27 07:45:00 -0400,Better Buy: NVIDIA vs. Qualcomm,"NVIDIA (NASDAQ: NVDA) and Qualcomm (NASDAQ: QCOM) are established tech giants positioning themselves for prosperity in the new economy.  Let's take a closer look at both NVIDIA and Qualcomm to see which might make a more lucrative investment given the competitive environment each operates in.  NVIDIA drew its picture of success by manufacturing graphics processing units (GPUs), while Qualcomm excels by specializing in chips for smartphones."
2020-10-26 14:37:46 -0400,"Tech Stocks To Watch: Track Changes To Zoom, PayPal, Alibaba And More","Zoom Video, PayPal, Alibaba, Nvidia and Microsoft are among the top tech stocks to watch as Q3 earnings season kicks into high gear."
2020-10-26 08:00:42 -0400,Best ESG Companies By Category: These Are The Top 3 ESG Stocks In 8 Industries,What are the best ESG companies that lead their industry? We list the three high-ranking ESG stocks with the highest growth stock ratings in their business.
2020-10-26 08:00:27 -0400,"ESG Stocks To Watch: Nvidia, Salesforce Offer New Buy Points","In the current stock market rally and record inflows into ESG stocks, several top companies are worth a look."
2020-10-26 08:00:27 -0400,"Best ESG Companies: Top 50 Stocks For Environmental, Social And Governance Values",Investors want stocks to align with their environmental and social values (ESG). So what are the best ESG companies? We rank 50 ESG stocks with top ratings. Guess what's No. 1.
2020-10-26 08:00:14 -0400,Nvidia Stock Wows Wall Street And ESG Investors Too As Best ESG Company,Nvidia stock wowed Wall Street with its bold expansion from graphics chips to AI chips. Now it's gaining accolades for ESG investing.
2020-10-26 08:00:07 -0400,ESG Investing Is Wildly Popular But Little Known: Poll,"For a concept that's not widely known, ESG investing is sure popular. And investors give a big weight to some environmental, social and governance issues."
2020-10-26 06:20:10 -0400,Should Franklin LibertyQ U.S. Equity ETF Be on Your Investing Radar?,Style Box ETF report for FLQL
2020-10-25 15:07:00 -0400,"Where to Invest $5,000 Right Now in an Uncertain Market","Amazon (NASDAQ: AMZN), NVIDIA (NASDAQ: NVDA), and Shopify (NYSE: SHOP) are three stock picks where you could invest $5,000 right now and reap significant benefits over the long term.  If any one company could be called the star of the year, it would have to be tech giant Amazon.  When other companies were worried about a recession and accommodating the need for social distancing among employees, Amazon soared on the back of an accelerated wave of e-commerce growth."
2020-10-25 08:05:00 -0400,3 High-Growth Tech Stocks to Buy and Hold for the Next Decade,"As the coronavirus took root in the U.S. earlier this year, investors flocked to tech stocks they thought would weather the pandemic.  As a result, many technology companies both large and small have seen their share prices skyrocket this year.  Here's why they think MercadoLibre (NASDAQ: MELI), Atlassian (NASDAQ: TEAM), and NVIDIA (NASDAQ: NVDA) should be on your high-growth tech stock buy list."
2020-10-24 13:00:00 -0400,Intel's Data Center Business Disappoints in Q3,"Shares of Intel (NASDAQ: INTC) tanked yesterday after the company reported disappointing third-quarter earnings results.  Investors were rattled by a 7% drop in Data Center Group (DCG) revenue, one of the company's largest and most profitable businesses.  Intel also warned that the challenges will remain next quarter."
2020-10-23 13:44:00 -0400,Intel Reported Earnings Thursday. Here’s Why the Stock Is Plunging.,"Several sell-side analysts lowered their price targets following Intel’s third-quarter earnings report, which failed to address the company’s manufacturing issues and continued to show relative weakness in several of its crucial businesses."
2020-10-23 12:49:04 -0400,"The Zacks Analyst Blog Highlights: Nvidia, Softbank, Salesforce, Microsoft and Zoom Video","The Zacks Analyst Blog Highlights: Nvidia, Softbank, Salesforce, Microsoft and Zoom Video"
2020-10-23 09:58:33 -0400,Intel ‘needs to catch up’ after disappointing quarter: analyst,"Intel disappointed in its latest quarter, with data center sales falling short. Yahoo Finance’s Alexis Christoforous and Brian Sozzi speak with Santosh Rao of Manhattan Venture Partners about what it means for the chip sector."
2020-10-23 08:00:13 -0400,Two Ways To Score Big Stock Gains By Playing This Red-Hot Sector,Gaming stocks are red hot as many people around the world remain stuck at home due to the coronavirus pandemic.
2020-10-22 17:37:09 -0400,3 Top-Ranked Tech Stocks to Buy Now and Hold,"Let's explore three diverse, top-ranked technology stocks that longer-term investors might want to consider buying and holding despite any near-term noise and volatility..."
2020-10-22 17:16:00 -0400,Intel Beat Earnings Expectations. Why Its Stock Is Tumbling.,"Intel reported a larger-than-expected profit and even offered above-consensus guidance. It wasn’t enough, and the stock is down about 10%."
2020-10-22 13:19:35 -0400,Fastest-Growing Companies: 24 Stocks Expecting Up To 603% Growth In 2020,"While the coronavirus pandemic has disrupted the global economy, Zoom Video, Netflix, Nvdia and AMD are among 24 fastest-growing companies expecting up to 603% growth in 2020"
2020-10-22 11:30:00 -0400,"Adding $1,000 to These 3 Top Stocks Right Now Would Be Brilliant","Just a small investment can go a long way when investing in high-flying, top-tier companies with massive addressable markets."
2020-10-22 09:01:42 -0400,Nvidia deal for Arm will drive computing power growth - SoftBank's Son,"SoftBank Group Corp CEO Masayoshi Son said on Thursday the sale of chip designer Arm to Nvidia Corp will drive growth in computing power, in his first public comments since the $40 billion deal was announced in September.  The Nvidia deal, part of a series of asset sales by Son, whose group has been shaken by soured investments and the COVID-19 pandemic, has raised concerns it will threaten Arm's role as a neutral supplier in the industry."
2020-10-22 08:33:16 -0400,Nvidia deal for Arm will drive computing power growth: SoftBank's Son,"SoftBank Group CEO Masayoshi Son said on Thursday the acquisition of chip designer Arm by Nvidia Corp will drive growth in computing power, in his first public comments since the $40 billion deal was announced in September."
