datetime,title,content
2020-10-30 15:38:32 -0400,Fisker debuts on the NYSE,"Electric automaker Fisker completed its new spac merger and debuted at the New York Stock Exchange on Friday. Henrik Fisker, Fisker Inc. Chairman and CEO, Yahoo Finance’s Myles Udland and The Final Round panel to discuss the new IPO and what to expect from the company."
2020-10-30 12:16:38 -0400,Dow Jones Drops As Apple Weighs; Stock Market Roiled By These Big Tech Earnings,"Stocks were sharply lower as earnings fueled big moves in Apple and Amazon. The Dow Jones Industrial Average, down 500 points earlier, pared its loss."
2020-10-30 11:54:31 -0400,The Newest Electric Car Stock Is About To Start Trading,Fisker stock will debut Friday on the New York Stock Exchange as the newest electric car stock after completing a blank-check merger.
2020-10-30 02:35:24 -0400,"Japan stocks fall, post biggest weekly loss in 3 months on virus worries","Japanese shares fell on Friday and posted their biggest weekly loss in three months as mixed earnings, rising coronavirus cases and uncertainty over the U.S. presidential election hurt sentiment.  The Nikkei 225 Index ended down 1.52% at 22,977.13."
2020-10-29 15:09:00 -0400,Nio's stock soars on NYSE-leading volume amid broad gains among EV makers,"Shares of Nio Inc.  soared 15.2% to a record high in very active afternoon trading Thursday, to pace a broad rally in the shares of electric vehicle makers, particularly those based in China. Trading volume ballooned to 177.3 million shares, enough to make the stock the most actively traded on the NYSE. The gains come after Ford Motor Co.  reported late Wednesday blowout third-quarter results, boosted by strength in its China business. Separately, the Nikkei reported earlier this week that China plans to phase out all gas-burning vehicles by 2035. Among other China-based EV makers, shares of Li Auto Inc.  ran up 11.9% and XPeng Inc.  shot up 8.3%. Among U.S. EV makers, shares of Tesla Inc.  rallied 2.0%, Workhorse Group Inc.  climbed 2.2%..."
2020-10-29 09:19:55 -0400,Nio Hits Big Milestone As Wall Street Sees 'Strong EV Leader In the Making',Nio announced a key production milestone as Morgan Stanley turned more bullish on the electric-car maker.
2020-10-29 08:03:45 -0400,"Dow Jones Futures Fall With Apple Earnings Due; Tesla Looks To Rebound, Pinterest Soars On Earnings","Dow Jones futures signaled modest losses early Thursday. Apple earnings are due after the close, while Pinterest skyrocketed 34% on earnings."
2020-10-29 08:00:16 -0400,ARK Invest's Cathie Wood Reveals Her Successful Playbook,"Looking for a template for winning at work? You'd be wise to follow Cathie Wood, founder of top money manager ARK Invest."
2020-10-28 16:25:00 -0400,"Tesla Inc. stock falls Wednesday, underperforms market","COMPANY CLOSE UPDATES  Terrence Horan Shares of Tesla Inc. TSLA slipped 4.39% to $406.02 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the NASDAQ Composite Index COMP falling 3."
2020-10-28 13:46:00 -0400,Tesla scores a ‘distant second’ to GM in new Consumer Reports study,"According to Consumer Reports, Tesla’s Autopilot system placed a ""distant second"" to industry leader General Motors GM, scoring 57 out of 100 points, compared with 69 for the Detroit auto maker who brought us the Hummer."
