datetime,title,content
2020-10-28 13:53:24 -0400,VMware Has Gifted Shareholders With A Fantastic 184% Total Return On Their Investment,"When you buy a stock there is always a possibility that it could drop 100%. But on the bright side, if you buy shares..."
2020-10-28 08:00:00 -0400,"SaltStack, Now Part of VMware, to Showcase Innovation in IT Infrastructure Automation and SecOps at SaltConf20 Virtually Everywhere","SaltStack®, the creators of intelligent automation for security operations and IT teams, and now part of VMware, today announced the agenda for SaltConf20 Virtually Everywhere, its seventh-annual global user conference, taking place virtually on October 29, 2020. This year’s event will bring together IT and security operations professionals to learn about SaltStack’s latest innovations in ITOps, NetOps and SecOps and how to automate more secure and reliable digital infrastructure for modern business."
2020-10-27 08:00:00 -0400,VMware and Samsung Form Alliance to Accelerate Communication Service Providers’ Transformation to 5G,"VMware, Inc. (NYSE: VMW) today announced it has collaborated with Samsung Electronics Co., Ltd. to further extend its leadership in 5G. Through this alliance, the companies seek to help Communication Service Providers (CSPs) meet the requirements of 5G networks and accelerate the roll-out of 5G by optimizing Samsung’s portfolio of telco offerings from Core to Edge to RAN for both containerized network functions (CNFs) and virtualized network functions (VNFs) with VMware Telco Cloud Platform."
2020-10-26 10:00:00 -0400,Ignore Intel: Here Are 3 Better Stocks,"Intel's problems could take some time to work out. In the meantime, these three names look like better value stocks in the tech sector."
2020-10-26 06:30:00 -0400,These Companies Pay the Most in Stock Compensation,"Stock compensation is typically used by startups to keep cash burn at a minimum, and theoretically handsomely reward employees if there is a liquidity event such as an acquisition or initial public offering.  After an IPO, a typical tech company’s first several quarters of public life will nearly always be characterized by large losses caused by employee stock vesting, which translates to the stock compensation line item in the cash flow statement.  Equity is used by older businesses too as a means of giving employees additional compensation and retaining staff."
2020-10-20 06:00:00 -0400,VMware Releases Global Incident Response Threat Report Detailing Surge in Sophisticated Cyberattacks as eCrime Groups Grow More Powerful,"VMware, Inc. (NYSE: VMW), a leading innovator in enterprise software, today released the results of its sixth Global Incident Response Threat Report, entitled: &quot;The Cybersecurity Tipping Point: Election, COVID-19 Create Perfect Storm for Increasingly Sophisticated Cyberattacks.&quot;"
2020-09-29 13:02:13 -0400,"VMware, Inc. -- Moody's announces completion of a periodic review of ratings of VMware, Inc.","Announcement of Periodic Review: Moody's announces completion of a periodic review of ratings of VMware, Inc.  New York, September 29, 2020 -- Moody's Investors Service (""Moody's"") has completed a periodic review of the ratings of VMware, Inc. and other ratings that are associated with the same analytical unit.  The review was conducted through a portfolio review in which Moody's reassessed the appropriateness of the ratings in the context of the relevant principal methodology(ies), recent developments, and a comparison of the financial and operating profile to similarly rated peers."
2020-09-29 12:00:00 -0400,Lumen Teams With VMware to Expand Edge Compute Capabilities for the 4th Industrial Revolution,"VMworld 2020 — At VMworld 2020, Lumen Technologies (NYSE: LUMN) and VMware, Inc. (NYSE: VMW) are announcing a significant collaboration covering edge compute, networking, and security. VMware and Lumen Technologies, or simply Lumen, are taking their current partnership further with the agreement for Lumen to deliver edge services using integrated VMware technologies. This collaboration will help enterprises expand across data center, cloud and edge, moving business applications that require low latency and efficient localization closer to digital interactions. At VMworld, Lumen and VMware will be presenting:"
2020-09-29 12:00:00 -0400,VMware and NVIDIA to Enable Next-Gen Hybrid Cloud Architecture and Bring AI to Every Enterprise,"VMworld 2020 — At VMworld 2020, VMware and NVIDIA today announced a broad partnership to deliver both an end-to-end enterprise platform for AI and a new architecture for data center, cloud and edge that uses NVIDIA® DPUs (data processing units) to support existing and next-generation applications."
2020-09-29 08:07:28 -0400,"VMware, Nvidia partner to make AI chips easier for businesses to use","VMware makes software that helps businesses get more work out of data center servers by slicing physical machines into ""virtual"" ones so that more applications can be packed onto each physical machine.  Its tools are commonly used by large businesses that operate their own data centers as well as businesses that use cloud computing data centers."
2020-09-29 08:00:00 -0400,"VMware Delivers the Next Wave of Virtual Cloud Network Innovation to Connect and Protect Today’s Distributed, Multi-Cloud Enterprise","VMworld 2020 — Today at VMworld 2020, VMware, Inc. (NYSE: VMW) unveiled Virtual Cloud Network innovations that will help customers create a modern network that better supports current and future business initiatives. With advancements across the VMware networking and security portfolio, customers will be able to more effectively manage the rapid shift to remote work, deliver traditional and modern applications faster and more securely, and reduce the cost and complexity of connecting and protecting the distributed enterprise."
2020-09-29 08:00:00 -0400,VMware Delivers Intrinsic Security to the World’s Digital Infrastructure,"VMworld 2020 — This week at VMworld 2020, VMware, Inc. (NYSE: VMW) unveiled new innovations to deliver intrinsic security to the world’s digital infrastructure. The solutions are designed to advance security for the public and private clouds, security operations and distributed workforces as organizations accelerate cloud adoption to build resilient, future ready digital infrastructure."
2020-09-29 08:00:00 -0400,VMware Expands Tanzu Portfolio and Partnerships to Accelerate Customers’ Infrastructure and Application Modernization Efforts,"VMworld 2020 — At VMworld 2020, VMware, Inc. (NYSE: VMW) announced updates to Tanzu support across VMware Cloud on AWS, Azure VMware Solution, and Oracle Cloud VMware Solution, and a partnership with GitLab. Introduced at VMworld 2019 US, VMware Tanzu is a portfolio of products and services for modernizing applications and infrastructure with a common goal: deliver better software to production, continuously. Over the last year, VMware has rapidly added to the Tanzu portfolio, expanded its partner ecosystem, and added new customers."
2020-09-29 08:00:00 -0400,VMware Announces Future Ready Workforce Solutions to Address the Needs of the Distributed Workforce,"This week at VMworld 2020, VMware, Inc. (NYSE: VMW) is announcing VMware Future Ready Workforce solutions to provide exceptional workforce experiences, end-to-end Zero Trust security controls, and simplified management. The Future Ready Workforce solutions combine VMware Secure Access Service Edge (SASE), Digital Workspace and Endpoint Security capabilities to help IT manage and optimize more secure access to any app, on any cloud, from any device while providing a simple, high performant, and a safer user experience for the distributed workforce."
2020-09-29 08:00:00 -0400,VMware Empowers Customers to Build their Multi-Cloud Future,"VMworld 2020 — This week at VMworld 2020, VMware, Inc. (NYSE: VMW) announced new innovations to help customers build, run, manage, connect, and protect any app on any cloud. Today, more than 15 million enterprise workloads run on VMware in the cloud, and more than 4,300 partners offer VMware-based cloud services. This includes all major public cloud providers. With these new and updated offerings, customers and partners can unlock multi-cloud’s full potential value by providing more developer freedom while providing IT with consistent and efficient security and operations."
2020-09-26 11:30:03 -0400,VMware Down 0.9% Since Last Earnings Report: Can It Rebound?,VMware (VMW) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.
2020-09-24 09:45:00 -0400,"Amdocs, Microsoft, VMware, Other Technology Leaders Join 5G Open Innovation Lab as Founding Partners to Help Start-Ups, Entrepreneurs Develop Groundbreaking 5G Services, Applications","The 5G Open Innovation Lab (5GOILab), a global ecosystem of developers, enterprises and government institutions, today announced that Amdocs (NASDAQ: DOX), Dell Technologies, Microsoft (NASDAQ: MSFT), and VMware (NYSE: VMW) have joined the Lab as founding partners providing engineering and technology resources to the Lab's diverse start-up ecosystem. Founding partners Intel, NASA and T-Mobile, who launched the Lab in May, welcomed the new members who will broaden the Lab participants' access to leading-edge network, software and hardware platforms, in addition to creating direct customer relationships that accelerate market adoption."
2020-09-22 08:00:00 -0400,VMworld Demonstrates What is ‘Possible Together’ in 2020 and Beyond,"VMware, Inc. (NYSE: VMW), a leading innovator in enterprise software, today announced the General Session keynote speakers and the conference sponsorships for VMworld® 2020\. Beginning Sept. 29, 2020, VMworld 2020 will welcome attendees to experience the completely digital VMworld under the theme of what’s &quot;possible together.&quot; Key focus areas of VMworld include app modernization, multi-cloud, virtual cloud network, digital workspace, intrinsic security and telco – as well as on emerging trends and the future impact of technology in today’s uncertain world and beyond."
2020-09-17 17:07:25 -0400,4 Software Stocks Trading Below the GF Value Line,These companies are modestly undervalued based on a number of metrics
