datetime,title,content
2020-10-30 15:14:00 -0400,"Why CrowdStrike, Zoom Video Communications, and ZoomInfo Technologies Just Crashed Again","This certainly hasn't been a great week to own tech stocks.  Since trading closed for the week last Friday, and through 12:40 p.m. EDT today, cybersecurity specialist CrowdStrike Holdings (NASDAQ: CRWD) is down 8%, videoconferencing company Zoom Video Communications (NASDAQ: ZM) has fallen 8.7%, and the confusingly similarly named software-as-a-service company ZoomInfo Technologies (NASDAQ: ZI) has dropped 13%.  While that may be true, the fact is that there does appear to be a reason for investors suddenly getting nervous about the stock market in general -- and high-flying tech stocks in particular -- and just like earlier this year, its name is COVID-19."
2020-10-29 17:00:14 -0400,WW CEO on earnings beat: People are 'reappraising' their health during COVID-19,WW International CEO Mindy Grossman talks with Yahoo Finance right after third quarter earnings hit the newswires.
2020-10-29 15:20:00 -0400,Nasdaq's Big Bounce Leaves These 2 Stay-at-Home Stocks Behind,"The Nasdaq Composite (NASDAQINDEX: ^IXIC) has seen its share of big drops followed by big rebounds, and Thursday was merely another instance of that phenomenon.  As of just after 2:30 p.m. EDT, the Nasdaq was up nearly 2.5%.  Shares of Peloton Interactive were down more than 5%."
2020-10-29 14:46:02 -0400,Why Zoom Video Stock Fell 6% on Thursday,Are investors in the videoconferencing specialist taking profits after the stock's massive run-up this year?
2020-10-29 06:12:00 -0400,"How Has Zoom Soared 676% This Year, but Still Costs Only $1?","Zoom Video Communications (NASDAQ: ZM) has had a very good run this year, with its share price climbing from $68.80 on Jan. 2 all the way to $528.10 near the end of October.  While there's an argument to be made that Zoom may be overvalued, rising coronavirus cases and Zoom's plans for growth (including expansion into online event hosting) suggest the stock could still be a buy.  Instead, many major brokerage firms now allow you to buy fractional shares."
2020-10-28 17:29:02 -0400,Investors Pull $33 Billion From SPY in 2020,"$33 billion has been pulled out of the world's biggest exchange traded fund, the SPDR S&P 500 ETF in 2020 even as $120 billion has flowed into the overall ETF universe."
2020-10-28 17:01:00 -0400,How to Use Options to Play a Decline in Zoom Video’s Stock,"(ZM) has been the ultimate stay-at-home stock this year, and it has burned bears during its ascent.  Shares of the provider of videoconferencing services (ticker: ZM) have soared to $516 from $68 during 2020.  For those wanting to bet that Zoom’s stock takes a hit in the coming months—perhaps on favorable news on a Covid-19 vaccine clinical trial—investors can use put option spreads to limit downside risk."
2020-10-28 13:36:00 -0400,10 Biggest Stock Losers in the Nasdaq Wednesday,"The worst stocks in the Nasdaq Wednesday include Apple, Nvidia, Regeneron, and Tesla. See which stocks performed worst Wednesday."
2020-10-27 11:16:37 -0400,Zoom Could Add to Historic Gains,"Zoom Video Communications, Inc. (ZM) stock flashed green on Monday despite the biggest down day since early September, highlighting resiliency that could translate into much higher prices in coming months.  One analyst has called it quits, telling clients to take profits and move to the sidelines."
2020-10-27 10:25:02 -0400,"The Zacks Analyst Blog Highlights: Zoom Video, Spectrum Brands, Ollie's Bargain Outlet, Grocery Outlet and Lifetime Brands","The Zacks Analyst Blog Highlights: Zoom Video, Spectrum Brands, Ollie's Bargain Outlet, Grocery Outlet and Lifetime Brands"
2020-10-27 09:41:00 -0400,Zoom Video Communications Launches Free End-to-End Encryption,"Zoom Video Communications (NASDAQ: ZM) has launched end-to-end encryption (E2EE) for both its free and paid services.  This means that, for a 30-day period, Zoom is actively soliciting user feedback for it.  As the descriptor ""end-to-end"" implies, when E2EE is in use the only users that have access to the encryption keys securing the meeting are the participants."
2020-10-26 18:03:13 -0400,David Rubenstein: People won't be 'rushing back to work' after COVID-19,"Billionaire investor and co-founder of The Carlyle Group, David Rubenstein, told Yahoo Finance that while it’s ‘an interesting phenomenon’ when trying to figure out how quickly the world has changed because of the pandemic, one thing is very clear: you’re not going to see people 'rushing back to work’ to the office in a post COVID-19 world."
2020-10-26 17:33:21 -0400,"Anne Walsh, Guggenheim CIO Fixed Income: The pandemic has shown that people can be productive working from home.","Anne Walsh, Guggenheim CIO Fixed Income, and Rob Falzon, Prudential Vice Chairman discuss how the pandemic has accelerated certain trends in the workplace, including more people working from home."
2020-10-26 14:37:46 -0400,"Tech Stocks To Watch: Track Changes To Zoom, PayPal, Alibaba And More","Zoom Video, PayPal, Alibaba, Nvidia and Microsoft are among the top tech stocks to watch as Q3 earnings season kicks into high gear."
2020-10-26 12:41:00 -0400,Why Zoom Video Stock Was Climbing Today,The videoconferencing app gained on worries about another spike in virus cases and on a software improvement.
2020-10-26 09:23:01 -0400,Coronavirus Cases Hit All-Time High: 5 Must-Buy Stocks,"Consumer discretionary and consumer staple stocks like Lifetime Brands (LCUT), Ollies Bargain Outlet Holdings (OLLI) and Spectrum Brands Holdings (SPB) have gained popularity since the coronavirus outbreak."
